# Supported contrib adapter behavior contracts.
# Columns: import_path	contract	evidence
github.com/aatuh/api-toolkit/contrib/v2/adapters/resend	Resend email adapter preserves email.Sender mapping, config loading, and readiness health behavior	direct tests in contrib/adapters/resend plus healthchecktest shared contracts; package docs in contrib/adapters/resend/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/adapters/stripe	Stripe adapter preserves checkout, billing compatibility, webhook verification, config loading, and readiness health behavior	direct tests in contrib/adapters/stripe plus healthchecktest shared contracts; package docs in contrib/adapters/stripe/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/adapters/txpostgres	Postgres transaction adapter preserves transaction boundary, queryer, and rollback/commit behavior	direct tests in contrib/adapters/txpostgres; package docs in contrib/adapters/txpostgres/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/adapters/webhookdeliverypostgres	Postgres webhook delivery adapter preserves tenant-scoped endpoint lookup, secret resolver boundaries, delivery enqueue/outbox transaction, attempt recording, replay scheduling, table-name validation, and readiness health behavior	direct tests in contrib/adapters/webhookdeliverypostgres; package docs in contrib/adapters/webhookdeliverypostgres/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/async	async runner preserves store/handler validation, bounded concurrency, graceful cancellation, success/failure recording, panic capture, safe labels, safe failure messages, low-cardinality metrics, and handler mux routing	direct tests in contrib/async plus asynctest shared contracts; package docs in contrib/async/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/audit	audit contracts preserve event validation, safe labels, actor/tenant/resource/result fields, metadata cloning, and reusable recorder contract behavior	direct tests in contrib/audit plus audittest shared contracts; package docs in contrib/audit/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/bootstrap	bootstrap composition helpers preserve APIService startup validation, safe system endpoint mounting, separate admin listener routing, middleware order validation, and server lifecycle behavior	direct tests in contrib/bootstrap; package docs in contrib/bootstrap/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/cache	cache contracts preserve key validation, defensive-copy behavior, TTL-aware set/get/delete semantics, and reusable adapter contract behavior	direct tests in contrib/cache plus cachetest shared contracts; package docs in contrib/cache/cache.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/auth/clerk	Clerk integration preserves environment-loaded Clerk JWT middleware wiring and health checker access	direct tests in contrib/integrations/auth/clerk; package docs in contrib/integrations/auth/clerk/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/auth/devheaders	dev-header integration preserves explicit development-only debug auth wiring around the devheaders middleware	direct tests in contrib/integrations/auth/devheaders; package docs in contrib/integrations/auth/devheaders/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/auth/jwt	JWT integration preserves environment-loaded JWT middleware wiring, claim requirements, and health checker access	direct tests in contrib/integrations/auth/jwt; package docs in contrib/integrations/auth/jwt/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/auth/oidc	OIDC integration preserves environment-loaded OIDC middleware wiring, discovery/JWKS config delegation, subject context access, and health checker access	direct tests in contrib/integrations/auth/oidc; package docs in contrib/integrations/auth/oidc/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/pgxpool	pgxpool integration preserves config-loaded Postgres pool construction and health checker access	direct tests in contrib/integrations/pgxpool; package docs in contrib/integrations/pgxpool/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/resend	Resend integration preserves config-loaded email sender construction and health checker access	direct tests in contrib/integrations/resend; package docs in contrib/integrations/resend/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/stripe	Stripe integration preserves config-loaded payment provider construction and health checker access	direct tests in contrib/integrations/stripe; package docs in contrib/integrations/stripe/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/integrations/txpostgres	txpostgres integration preserves config-loaded transaction adapter construction	direct tests in contrib/integrations/txpostgres; package docs in contrib/integrations/txpostgres/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/auth/clerk	Clerk auth middleware preserves bearer validation, JWKS settings, subject context, skip-header policy, and readiness health behavior	direct tests in contrib/middleware/auth/clerk plus healthchecktest shared contracts; package docs in contrib/middleware/auth/clerk/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/auth/devheaders	dev-header auth middleware preserves explicit dangerous-bypass opt-in, trusted proxy restriction, and debug subject context behavior	direct tests in contrib/middleware/auth/devheaders; package docs in contrib/middleware/auth/devheaders/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/auth/oidc	OIDC auth middleware preserves fail-closed config validation, issuer/audience/algorithm checks, discovery/JWKS loading, tenant/scope claim mapping, bearer subject context, and readiness health behavior	direct tests in contrib/middleware/auth/oidc plus healthchecktest shared contracts; package docs in contrib/middleware/auth/oidc/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/cors	CORS middleware preserves chi CORS option mapping and HTTP handler behavior	direct tests in contrib/middleware/cors; package docs in contrib/middleware/cors/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/metrics	metrics middleware preserves low-cardinality HTTP labels, route-policy labels and helper normalization, idempotency outcome labels, hard-timeout event labels, Prometheus recorder behavior, and chi/net/http route-pattern detection	direct tests in contrib/middleware/metrics; package docs in contrib/middleware/metrics/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/openapi	OpenAPI validation middleware preserves request validation, response validation controls, error mapping, and Problem Details output	direct tests in contrib/middleware/openapi; package docs in contrib/middleware/openapi/openapi.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/oteltrace	OpenTelemetry tracing middleware preserves span naming, low-cardinality attributes, route-pattern detection, and response status capture	direct tests in contrib/middleware/oteltrace; package docs in contrib/middleware/oteltrace/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/middleware/requestlog	request logging middleware preserves sanitized header/payload logging, panic observability, route labels, bounded route-policy fields, bounded idempotency outcome fields, bounded hard-timeout event fields, and response status capture	direct tests in contrib/middleware/requestlog; package docs in contrib/middleware/requestlog/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/objectstore	object storage contracts preserve reference validation, metadata/content policy, result semantics, signed URL contracts, and reusable adapter contract behavior	direct tests in contrib/objectstore plus objectstoretest shared contracts; package docs in contrib/objectstore/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/telemetry	OpenTelemetry wiring helpers preserve config parsing, fail-closed enabled tracing without endpoints, trace exporter initialization, sampler settings, and HTTP client wrapping	direct tests in contrib/telemetry; package docs in contrib/telemetry/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v2/webhookdelivery	webhook delivery contracts preserve fail-closed catalogs, endpoint policy, safe headers, signing, dispatch filtering, retry classification, low-cardinality metrics, tenant mismatch rejection, safe async payloads, and replay semantics	direct tests in contrib/webhookdelivery; package docs in contrib/webhookdelivery/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
